workload_multiplier,architecture,scenario,mean_total_requests,mean_success_rate,mean_latency_ms,mean_median_latency_ms
5,baseline,multi_device_access,993.7333333333333,0.9153684605069314,38599399.72108387,38579054.2928772
5,baseline,research_donation,821.4,0.0,38501348.514233515,38455263.24361901
5,baseline,trust_failure,1648.3,0.6018392365524818,38449385.80504825,38434528.74131534
5,capacity_matched,all_scenarios,25840.1,0.883971428898577,19672581.39041022,19670880.727340814
5,capacity_matched,audit_investigation,79.3,0.9045701665598348,19493738.136005953,19250231.89690651
5,capacity_matched,consent_based_access,3293.5666666666666,0.8940306483431468,19737433.03388194,19765426.107312866
5,capacity_matched,consent_revocation,1988.4666666666667,0.8906344565372651,19626722.092623997,19624988.390755612
5,capacity_matched,cross_org_exchange,2505.7,0.939328184692732,19682983.29077144,19726486.705975868
5,capacity_matched,emergency_access,2954.9666666666667,0.970326855096347,19680505.718885418,19639213.66763286
5,capacity_matched,high_volume_ingestion,9907.7,0.9610946703661611,19660644.76879076,19637669.119450353
5,capacity_matched,lab_ingestion_recovery,1646.9666666666667,0.85602260422167,19643111.745394133,19680489.8421189
5,capacity_matched,multi_device_access,993.7333333333333,0.9153684605069314,19724275.21827222,19713871.51226337
5,capacity_matched,research_donation,821.4,0.0,19671902.966203965,19650061.03657225
5,capacity_matched,trust_failure,1648.3,0.6018392365524818,19646223.765367974,19637051.88216847
5,refined,all_scenarios,25840.1,0.9878876700272418,104439.94066298389,101010.66630605812
5,refined,audit_investigation,79.3,0.9792413595414405,103774.6599371275,97675.18958642973
5,refined,consent_based_access,3293.5666666666666,0.9660262942594396,104765.77587668624,101279.46944878796
5,refined,consent_revocation,1988.4666666666667,0.9662323362533376,104278.25327386841,100610.95578331941
5,refined,cross_org_exchange,2505.7,0.9850104444632096,104579.55337406727,101022.47995466931
5,refined,emergency_access,2954.9666666666667,0.9851045784746228,104530.70544742286,100978.34434475136
5,refined,high_volume_ingestion,9907.7,1.0,104352.48877580086,100889.07837586399
5,refined,lab_ingestion_recovery,1646.9666666666667,1.0,104150.01163800198,100052.71986747792
5,refined,multi_device_access,993.7333333333333,0.9850799199191754,104572.6838222237,101443.4174060732
5,refined,research_donation,821.4,0.9849782362937756,104815.05455558552,100790.70291627757
5,refined,trust_failure,1648.3,0.9856743516086119,104192.99517606836,101352.99813204915
