workload_multiplier,architecture,resource,capacity,mean_calls,mean_utilization,maximum_utilization,mean_wait_ms,maximum_wait_ms,saturation_rate,replication_saturation_rate,mean_calls_delayed_beyond_horizon
2,baseline,orchestrator,1,4657.4,0.016929943544643576,0.017257877969531793,0.12220453043110296,32.94328578590466,0.0,1.0,0.0
2,baseline,policy,2,626.9,0.0005713532401940452,0.0005908884402003447,0.0,0.0,0.0,1.0,0.0
2,baseline,queue,2,4657.433333333333,0.016938452330717564,0.017249178229200704,0.004105010680299323,20.541560654123714,0.0,1.0,0.0
2,baseline,session,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,baseline,status,1,249.86666666666667,0.0052886614607751785,0.005696452311006459,0.0,0.0,0.0,1.0,0.0
2,baseline,trust,1,1111.8333333333333,0.9955532679303963,0.9965696108994326,328230.9802164826,3187440.2838612795,1.0,1.0,204.96666666666667
2,baseline,verifier,2,6519.666666666667,0.006317125613228796,0.00676046357059617,1408724.2670841848,3195763.173945031,0.0,1.0,5416.4
2,capacity_matched,anonymizer,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,capacity_matched,audit,3,2152.9,0.02205474202746587,0.038964441338880454,23735.42634266359,2806445.7688484215,0.0,0.0,28.7
2,capacity_matched,compliance,2,1059.7,0.0005780855154631073,0.0006415795008515884,1832.880229349871,63989.47427358689,0.0,0.0,0.36666666666666664
2,capacity_matched,connector,3,4699.933333333333,0.0009360434609816884,0.0010696520738553194,1390178.8897984968,2831417.1745980163,0.0,0.0,3767.5333333333333
2,capacity_matched,fhir,3,2929.866666666667,0.0016201561401473386,0.0017936560094307598,9151.055210385064,168245.37108064396,0.0,0.0,6.466666666666667
2,capacity_matched,orchestrator,3,4657.4,0.005643314514881192,0.005752625989843931,0.0,0.0,0.0,0.0,0.0
2,capacity_matched,policy,3,1172.9,0.0007116548876417306,0.0007468030859991995,0.0,0.0,0.0,0.0,0.0
2,capacity_matched,queue,5,4657.433333333333,0.0067753809322870255,0.006899671291680282,0.0,0.0,0.0,0.0,0.0
2,capacity_matched,session,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,capacity_matched,status,2,462.6666666666667,0.004904476340283391,0.005410510962544794,0.0,0.0,0.0,0.0,0.0
2,capacity_matched,trust,2,1909.1,0.9302703107092493,0.9439767951198218,176815.1561802916,2834020.9580245866,0.0,0.0,184.8
2,capacity_matched,verifier,3,7277.266666666666,0.007904240513420514,0.00829171726807951,1141294.9676482491,2833041.9541107193,0.0,0.0,4767.566666666667
