architecture,scenario,resource,capacity,mean_calls,mean_utilization,maximum_utilization,mean_wait_ms,maximum_wait_ms,saturation_rate,mean_calls_delayed_beyond_horizon
capacity_matched,audit_investigation,audit,3,17.633333333333333,0.05341669426478744,0.08913793138401313,0.0,0.0,0.0,0.0
capacity_matched,audit_investigation,compliance,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_matched,audit_investigation,connector,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_matched,audit_investigation,fhir,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_matched,audit_investigation,orchestrator,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_matched,audit_investigation,policy,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_matched,audit_investigation,queue,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_matched,audit_investigation,session,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_matched,audit_investigation,status,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_matched,audit_investigation,trust,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_matched,audit_investigation,verifier,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_matched,consent_based_access,anonymizer,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_matched,consent_based_access,audit,3,579.0,8.340858083938475e-05,9.155167535121595e-05,0.0,0.0,0.0,0.0
capacity_matched,consent_based_access,compliance,2,286.23333333333335,0.00015610440874833198,0.0001773769047018146,0.0,0.0,0.0,0.0
capacity_matched,consent_based_access,connector,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_matched,consent_based_access,fhir,3,1158.0,0.000640158863005288,0.0006943708432620348,0.0,0.0,0.0,0.0
capacity_matched,consent_based_access,orchestrator,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_matched,consent_based_access,policy,3,628.4666666666667,0.0003813056103196157,0.00041711212214316546,0.0,0.0,0.0,0.0
capacity_matched,consent_based_access,queue,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_matched,consent_based_access,session,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_matched,consent_based_access,status,2,628.4666666666667,0.006666896917012638,0.007294257017150068,0.0,0.0,0.0,0.0
capacity_matched,consent_based_access,trust,2,648.0333333333333,0.344428595627413,0.3727367426605213,267.08393479560976,8209.178672344706,0.0,0.0
capacity_matched,consent_based_access,verifier,3,1296.1,0.0035386449342641227,0.003860920951126118,0.0,0.0,0.0,0.0
capacity_matched,consent_revocation,anonymizer,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_matched,consent_revocation,audit,3,347.43333333333334,4.978075080789582e-05,5.65655573356278e-05,0.0,0.0,0.0,0.0
capacity_matched,consent_revocation,compliance,2,173.03333333333333,9.398820044644924e-05,0.00010372840276592873,0.0,0.0,0.0,0.0
capacity_matched,consent_revocation,connector,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_matched,consent_revocation,fhir,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_matched,consent_revocation,orchestrator,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_matched,consent_revocation,policy,3,378.53333333333336,0.00022987225839783153,0.0002514569719527907,0.0,0.0,0.0,0.0
capacity_matched,consent_revocation,queue,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_matched,consent_revocation,session,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_matched,consent_revocation,status,2,378.53333333333336,0.004016850385662468,0.004382748121918815,0.0,0.0,0.0,0.0
capacity_matched,consent_revocation,trust,2,389.7,0.20708217087751152,0.22554795743816064,90.76588948613029,8446.922219879525,0.0,0.03333333333333333
capacity_matched,consent_revocation,verifier,3,779.4,0.0021209936041669698,0.002330852244238364,0.0,0.0,0.0,0.0
capacity_matched,cross_org_exchange,anonymizer,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_matched,cross_org_exchange,audit,3,456.43333333333334,6.542945495893778e-05,7.300825758348842e-05,0.0,0.0,0.0,0.0
capacity_matched,cross_org_exchange,compliance,2,226.46666666666667,0.00012362565641489703,0.00013974600179244933,0.0,0.0,0.0,0.0
capacity_matched,cross_org_exchange,connector,3,470.03333333333336,0.00035581690518269183,0.0003939788625624981,0.0,0.0,0.0,0.0
capacity_matched,cross_org_exchange,fhir,3,912.8666666666667,0.0005053653254380828,0.000570467679530002,0.0,0.0,0.0,0.0
capacity_matched,cross_org_exchange,orchestrator,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_matched,cross_org_exchange,policy,3,456.43333333333334,0.00027740145365071946,0.00030791458514566544,0.0,0.0,0.0,0.0
capacity_matched,cross_org_exchange,queue,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_matched,cross_org_exchange,session,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_matched,cross_org_exchange,status,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_matched,cross_org_exchange,trust,2,484.9,0.2569223705799324,0.28493437159558227,132.45757819212534,7774.99253687256,0.0,0.0
capacity_matched,cross_org_exchange,verifier,3,969.8,0.0026439214903950722,0.002934019546038308,0.0,0.0,0.0,0.0
capacity_matched,emergency_access,anonymizer,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_matched,emergency_access,audit,3,562.2,8.03420196211599e-05,8.94904026184425e-05,0.0,0.0,0.0,0.0
capacity_matched,emergency_access,compliance,2,281.1,0.00015278999254802602,0.00017471880871415703,0.0,0.0,0.0,0.0
capacity_matched,emergency_access,connector,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_matched,emergency_access,fhir,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_matched,emergency_access,orchestrator,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_matched,emergency_access,policy,3,562.2,0.00034142317385971513,0.00037065104952352265,0.0,0.0,0.0,0.0
capacity_matched,emergency_access,queue,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_matched,emergency_access,session,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_matched,emergency_access,status,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_matched,emergency_access,trust,2,581.4333333333333,0.30854700839523624,0.33713472653487864,201.4497657038316,8419.489654332892,0.0,0.03333333333333333
capacity_matched,emergency_access,verifier,3,1162.8666666666666,0.003177766674419442,0.0034605909113354233,0.0,0.0,0.0,0.0
capacity_matched,high_volume_ingestion,anonymizer,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_matched,high_volume_ingestion,audit,3,1890.1333333333334,0.0002713354232069607,0.0002846571321928115,20.66788771003585,7158.89327300647,0.0,0.0
capacity_matched,high_volume_ingestion,compliance,2,939.6333333333333,0.0005123824023057291,0.0005403625586261328,37.62063158995657,7208.285676286323,0.0,0.0
capacity_matched,high_volume_ingestion,connector,3,1964.9666666666667,0.001488964416462832,0.0015505415557477721,0.0,0.0,0.0,0.0
capacity_matched,high_volume_ingestion,fhir,3,3813.6,0.002108993776106584,0.002197830721667393,0.0005446500489675176,16.175988542272535,0.0,0.0
