architecture,scenario,replications,mean_p50_latency_ms,p50_ci95_low_ms,p50_ci95_high_ms,mean_p95_latency_ms,p95_ci95_low_ms,p95_ci95_high_ms,mean_p99_latency_ms,p99_ci95_low_ms,p99_ci95_high_ms,mean_maximum_latency_ms,maximum_ci95_low_ms,maximum_ci95_high_ms
capacity_matched,cross_org_exchange,30,3691.8294061409156,3669.482392297754,3714.1764199840773,6815.156324947658,6668.045787695209,6962.2668622001065,9059.16275555398,8888.308336954695,9230.017174153265,10947.52233369117,10558.171075040727,11336.873592341612
capacity_matched,emergency_access,30,3627.161048281228,3600.978395802508,3653.3437007599478,6635.581207100609,6416.227706823542,6854.934707377677,9169.776433389332,8999.560223732235,9339.99264304643,11090.011267213351,10659.320120626942,11520.70241379976
capacity_matched,high_volume_ingestion,30,124.31944204831211,124.18032403628214,124.45856006034208,4823.371982275487,4770.818786859398,4875.925177691577,7489.6449189315335,7312.904078135234,7666.385759727833,11637.11511001092,11147.10818197682,12127.12203804502
capacity_matched,lab_ingestion_recovery,30,123.86813088131134,123.62146429355867,124.11479746906402,8505.980981862003,8425.11714108172,8586.844822642286,9561.78453470476,9448.769067500838,9674.800001908683,10463.077780767273,10265.20487752736,10660.950684007186
capacity_matched,multi_device_access,30,11693.880577195549,11589.25329851817,11798.507855872927,21870.285972756163,21070.141070203044,22670.43087530928,27658.121992392174,25988.269876612307,29327.974108172042,31680.05375978729,29797.52390300465,33562.58361656993
capacity_matched,research_donation,30,3505.447485731185,3476.5101529172157,3534.3848185451548,5616.185714920493,5307.364774090334,5925.0066557506525,8317.496558321902,7973.958997503228,8661.034119140575,9587.275853816662,9317.135879875095,9857.415827758228
capacity_matched,trust_failure,30,4467.389135779955,4370.645609001549,4564.132662558361,9636.859173376446,9575.490819670633,9698.22752708226,10624.230973354452,10482.873412143654,10765.58853456525,11823.395304840613,11471.710106980268,12175.080502700957
refined,audit_investigation,30,790.5510100770291,777.6888672016937,803.4131529523645,981.9964098162978,955.1764923315757,1008.81632730102,1040.0973067269103,1004.5017494668738,1075.6928639869468,1055.7961856184609,1015.3415957169034,1096.2507755200184
refined,consent_based_access,30,773.4639590682643,771.1610456617083,775.7668724748204,3871.0482317853425,3795.115276407293,3946.981187163392,5049.529810351088,4937.272443489285,5161.78717721289,6947.505232502071,6577.156735798956,7317.853729205185
refined,consent_revocation,30,723.9990749179659,721.4474514694443,726.5506983664875,3693.3402708242693,3620.569619452849,3766.1109221956895,4892.214282122467,4656.093643471726,5128.334920773208,6267.52372687068,5918.333257583228,6616.714196158131
refined,cross_org_exchange,30,690.9698333934291,688.7343480803514,693.2053187065068,3617.8319533211775,3561.3225178766534,3674.3413887657016,4765.453005646659,4670.97214097837,4859.933870314949,6602.836967561126,6117.404046385347,7088.269888736904
refined,emergency_access,30,671.4370351710681,669.1288718017657,673.7451985403706,3618.148948742691,3547.156000600667,3689.141896884715,4733.558794317947,4636.403275010779,4830.714313625115,6771.573011979938,6328.97957655649,7214.166447403386
refined,high_volume_ingestion,30,62.123593370606045,62.04231391303522,62.20487282817687,651.2919712105842,645.941201779965,656.6427406412033,3786.9345641416194,3711.847168923516,3862.0219593597226,6444.4304449236015,5988.258930203365,6900.601959643838
refined,lab_ingestion_recovery,30,62.02289177871497,61.80784196431751,62.23794159311243,717.0865200406855,564.7361308421995,869.4369092391715,3992.3544484959666,3491.967024641859,4492.741872350074,7798.738187687727,6844.727221845072,8752.749153530383
refined,multi_device_access,30,743.6622341465634,740.819037952689,746.5054303404378,3655.465626156584,3520.3302752428754,3790.600977070293,4733.683584601971,4595.983132315809,4871.384036888134,6053.115944492142,5613.882230112666,6492.349658871619
refined,research_donation,30,805.2240303335641,801.2816987597229,809.1663619074053,3631.857888121371,3459.8366718066873,3803.879104436055,4677.019885423593,4549.992204047157,4804.047566800029,5582.49738404903,5181.770369945093,5983.224398152967
refined,trust_failure,30,671.7493352510644,669.2166786649865,674.2819918371423,3761.02674356383,3617.7446372848217,3904.3088498428388,7276.0500974845745,6705.876793233707,7846.223401735442,10759.228923076038,9970.864390545108,11547.593455606968
